"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_minus_Ons","Succ_Take_minus_Ons","Succ_percent_Take_minus_Ons","Tkld_Take_minus_Ons","Tkld_percent_Take_minus_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Matches","url"
311,"Max Lowe","/en/players/7af88b33/Max-Lowe","eng ENG","DF,MF","Sheffield Utd",26,1997,5.6,203,23,78,64,63,6,203,5,2,40,3,60,66,271,105,5,2,1,6,0,88,11,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
312,"Douglas Luiz","/en/players/6f7d826d/Douglas-Luiz","br BRA","MF","Aston Villa",25,1998,33.3,2351,81,519,1256,598,38,2347,47,24,51.1,16,34,1394,7522,3562,60,48,4,33,31,1638,50,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
313,"Saša Lukić","/en/players/c6e8cf1f/Sasa-Lukic","rs SRB","MF","Fulham",26,1996,12.5,625,36,167,361,109,23,625,8,5,62.5,3,37.5,342,1634,776,12,12,1,11,10,374,27,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
314,"Ian Maatsen","/en/players/cab9634e/Ian-Maatsen","nl NED","FW,MF","Chelsea",21,2002,2.3,179,7,49,56,75,8,179,4,0,0,4,100,100,555,315,9,5,2,8,7,117,15,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
315,"Alexis Mac Allister","/en/players/83d074ff/Alexis-Mac-Allister","ar ARG","MF","Liverpool",24,1998,28.9,2313,73,392,1382,560,32,2312,34,18,52.9,12,35.3,1346,5738,3006,44,45,4,30,35,1626,48,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
316,"James Maddison","/en/players/ee38d9c5/James-Maddison","eng ENG","MF","Tottenham",26,1996,23.7,1748,24,136,774,852,112,1748,81,32,39.5,34,42,1251,6395,2589,58,60,31,35,34,1430,156,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
317,"Noni Madueke","/en/players/bf34eebd/Noni-Madueke","eng ENG","FW","Chelsea",21,2002,11.7,666,18,85,224,373,77,665,86,37,43,37,43,428,3556,2191,76,36,38,25,14,504,136,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
318,"Gabriel Magalhães","/en/players/67ac5bb8/Gabriel-Magalhaes","br BRA","DF","Arsenal",25,1997,33.8,2447,321,1049,1176,234,42,2447,5,2,40,2,40,1447,6001,3455,13,37,1,12,3,1702,8,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
319,"Harry Maguire","/en/players/d8931174/Harry-Maguire","eng ENG","DF","Manchester Utd",30,1993,18.4,1313,201,626,603,89,36,1313,2,0,0,2,100,702,4638,2771,20,13,2,9,2,782,2,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
320,"Kobbie Mainoo","/en/players/c6220452/Kobbie-Mainoo","eng ENG","MF","Manchester Utd",18,2005,21.4,1094,62,302,568,236,30,1094,58,31,53.4,22,37.9,667,3152,1447,25,22,6,29,24,767,36,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
321,"Orel Mangala","/en/players/a572e291/Orel-Mangala","be BEL","MF","Nott'ham Forest",25,1998,17.4,819,46,245,471,116,9,819,30,13,43.3,13,43.3,429,2097,961,13,11,1,17,18,529,14,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
322,"Benson Manuel","/en/players/d7f99582/Benson-Manuel","ao ANG","MF,FW","Burnley",26,1997,1.3,82,0,9,25,48,3,82,12,4,33.3,6,50,63,515,225,5,7,0,5,4,68,14,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
323,"Solly March","/en/players/bb5fbd2b/Solly-March","eng ENG","FW,DF","Brighton",29,1994,6.2,336,12,71,123,145,18,336,18,8,44.4,8,44.4,198,975,491,14,7,3,8,10,211,44,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
324,"Anthony Martial","/en/players/8b788c01/Anthony-Martial","fr FRA","FW","Manchester Utd",27,1995,5,178,3,11,81,89,16,178,6,2,33.3,2,33.3,105,444,168,6,6,1,14,10,148,36,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
325,"Gabriel Martinelli","/en/players/48a5a5d6/Gabriel-Martinelli","br BRA","FW","Arsenal",22,2001,22.4,1241,12,96,315,844,196,1241,114,40,35.1,61,53.5,856,5863,2981,127,49,82,54,41,956,345,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
326,"Emiliano Martínez","/en/players/7956236f/Emiliano-Martinez","ar ARG","GK","Aston Villa",30,1992,33.5,1509,1139,1484,25,0,0,1509,0,0,NA,0,NA,933,4389,2772,0,0,0,1,0,800,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
327,"Lisandro Martínez","/en/players/bac46a10/Lisandro-Martinez","ar ARG","DF","Manchester Utd",25,1998,7.2,510,75,234,259,18,2,510,4,2,50,1,25,338,1775,1062,8,3,0,1,3,351,1,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
328,"Han-Noah Massengo","/en/players/eba1e557/Han-Noah-Massengo","fr FRA","MF,DF","Burnley",22,2001,0.2,16,0,5,6,5,0,16,0,0,NA,0,NA,6,34,16,2,1,0,1,0,7,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
329,"Pape Matar Sarr","/en/players/feb5d972/Pape-Matar-Sarr","sn SEN","MF","Tottenham",20,2002,23,1582,64,283,830,486,44,1582,38,19,50,17,44.7,1041,5912,2263,43,58,3,37,15,1197,90,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
330,"Jean-Philippe Mateta","/en/players/50e6dc35/Jean-Philippe-Mateta","fr FRA","FW","Crystal Palace",26,1997,25.4,725,19,66,303,373,102,723,65,25,38.5,36,55.4,427,2104,740,29,15,14,89,78,539,135,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
331,"Joël Matip","/en/players/b217ef29/Joel-Matip","cm CMR","DF","Liverpool",31,1991,8.7,665,90,303,327,37,12,665,2,0,0,2,100,421,2195,1406,8,13,0,3,4,451,1,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
332,"Alex Matos","/en/players/ed383e43/Alex-Matos","eng ENG","MF","Chelsea",18,2004,0,0,0,0,0,0,0,0,0,0,NA,0,NA,1,1,0,0,0,0,0,1,1,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
333,"Remi Matthews","/en/players/27f4f772/Remi-Matthews","eng ENG","GK","Crystal Palace",29,1994,0,6,5,6,0,0,0,6,0,0,NA,0,NA,2,18,0,0,0,0,0,0,1,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
334,"Neal Maupay","/en/players/4bcf39f6/Neal-Maupay","fr FRA","FW","Brentford",26,1996,14.7,532,6,59,221,262,71,532,33,9,27.3,20,60.6,295,1421,571,21,23,12,28,24,379,91,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
335,"Neal Maupay","/en/players/4bcf39f6/Neal-Maupay","fr FRA","FW","Everton",26,1996,1.2,40,1,1,21,19,8,40,0,0,NA,0,NA,20,89,34,1,1,1,6,3,28,6,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
336,"Konstantinos Mavropanos","/en/players/00963611/Konstantinos-Mavropanos","gr GRE","DF","West Ham",25,1997,16.7,821,117,421,372,34,19,821,6,2,33.3,2,33.3,393,2338,1349,10,1,1,7,0,419,2,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
337,"Bryan Mbeumo","/en/players/6afaebf2/Bryan-Mbeumo","cm CMR","FW","Brentford",23,1999,21.8,1045,26,108,350,599,111,1042,78,26,33.3,42,53.8,667,4326,2115,74,52,38,67,39,727,195,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
338,"James Mcatee","/en/players/96593e89/James-Mcatee","eng ENG","MF,FW","Sheffield Utd",20,2002,20.2,784,23,119,315,366,68,783,92,33,35.9,52,56.5,451,3244,1450,56,33,18,49,40,475,110,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
339,"James Mcatee","/en/players/96593e89/James-Mcatee","eng ENG","MF","Manchester City",20,2002,0,1,0,0,0,1,0,1,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
340,"Oliver McBurnie","/en/players/78b8ac63/Oliver-McBurnie","sct SCO","FW","Sheffield Utd",27,1996,14.2,583,31,68,288,230,74,581,17,6,35.3,10,58.8,245,923,305,6,11,4,25,18,420,60,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
341,"James McConnell","/en/players/bf973eeb/James-McConnell","eng ENG","MF","Liverpool",18,2004,0,10,0,1,7,2,0,10,1,0,0,0,0,5,47,11,0,1,0,1,0,6,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
342,"John McGinn","/en/players/90f91999/John-McGinn","sct SCO","MF,FW","Aston Villa",28,1994,33.3,1545,44,257,809,499,58,1545,96,54,56.3,27,28.1,992,5176,2385,59,45,10,55,61,1096,84,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
343,"Scott McKenna","/en/players/4e5a4cbc/Scott-McKenna","sct SCO","DF","Nott'ham Forest",26,1996,4.6,244,43,142,92,11,5,244,0,0,NA,0,NA,102,365,177,1,0,0,3,0,107,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
344,"Dwight McNeil","/en/players/fc15fb84/Dwight-McNeil","eng ENG","MF,FW","Everton",23,1999,32.1,1621,51,247,683,724,72,1621,66,30,45.5,31,47,905,5845,2583,80,62,14,67,60,1032,147,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
345,"Scott McTominay","/en/players/d93c2511/Scott-McTominay","sct SCO","MF,FW","Manchester Utd",26,1996,21.1,927,78,235,478,225,53,927,21,8,38.1,10,47.6,485,2221,1032,29,22,4,29,23,572,47,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
346,"Ben Mee","/en/players/8df7a2fb/Ben-Mee","eng ENG","DF","Brentford",33,1989,14.1,829,109,388,364,79,25,829,6,3,50,3,50,388,1958,1150,11,4,1,9,7,447,9,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
347,"Hannibal Mejbri","/en/players/ca22ccb0/Hannibal-Mejbri","tn TUN","MF,FW","Manchester Utd",20,2003,1.5,59,2,12,30,19,3,59,5,2,40,1,20,35,156,74,2,0,0,7,4,34,10,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
348,"Teden Mengi","/en/players/91748070/Teden-Mengi","eng ENG","DF","Luton Town",21,2002,27.4,1288,218,673,554,70,24,1288,11,7,63.6,3,27.3,596,3222,1660,15,8,2,22,5,616,1,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
349,"Chris Mepham","/en/players/fed96827/Chris-Mepham","wls WAL","DF","Bournemouth",25,1997,6.9,434,48,182,227,25,6,434,0,0,NA,0,NA,235,1304,736,4,4,0,2,2,242,1,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
350,"Lewis Miley","/en/players/2c6835e5/Lewis-Miley","eng ENG","MF","Newcastle Utd",17,2006,13.4,674,36,164,305,212,35,674,17,8,47.1,8,47.1,350,1664,654,14,7,6,16,10,435,54,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
351,"James Milner","/en/players/2f90f6b8/James-Milner","eng ENG","DF,MF","Brighton",37,1986,8.6,675,25,135,300,245,17,675,8,3,37.5,4,50,395,1230,562,11,6,4,11,6,457,73,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
352,"Tyrone Mings","/en/players/8397a50c/Tyrone-Mings","eng ENG","DF","Aston Villa",30,1993,0.3,8,3,5,2,1,1,8,0,0,NA,0,NA,4,8,3,0,0,0,1,0,4,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
353,"Tyrick Mitchell","/en/players/5cbd1eb0/Tyrick-Mitchell","eng ENG","DF,MF","Crystal Palace",23,1999,35.6,2038,118,739,762,555,54,2038,37,18,48.6,17,45.9,818,3253,1564,32,23,9,46,28,979,159,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
354,"Kaoru Mitoma","/en/players/74618572/Kaoru-Mitoma","jp JPN","FW","Brighton",26,1997,16.5,852,17,79,270,514,136,852,94,39,41.5,44,46.8,616,4879,3147,121,54,62,38,15,677,239,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
355,"Aleksandar Mitrović","/en/players/3925dbd6/Aleksandar-Mitrovic","rs SRB","FW","Fulham",28,1994,0.4,12,0,1,6,6,4,12,3,3,100,0,0,5,29,15,0,0,0,0,0,8,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
356,"Jakub Moder","/en/players/f230bc30/Jakub-Moder","pl POL","MF,DF","Brighton",24,1999,6.9,388,23,106,180,106,14,388,12,6,50,5,41.7,218,985,423,10,8,2,11,6,259,26,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
357,"Gonzalo Montiel","/en/players/374d5158/Gonzalo-Montiel","ar ARG","DF","Nott'ham Forest",26,1997,8.9,474,47,175,186,117,13,474,1,1,100,0,0,209,920,566,9,10,0,7,3,239,32,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
358,"Kieffer Moore","/en/players/01ce9e70/Kieffer-Moore","wls WAL","FW,MF","Bournemouth",30,1992,1.2,53,0,2,21,30,12,53,3,1,33.3,1,33.3,29,93,34,2,0,0,3,1,47,15,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
359,"Mikey Moore","/en/players/00953a9d/Mikey-Moore","eng ENG","MF","Tottenham",15,2007,0,8,1,1,3,4,0,8,1,0,0,1,100,4,44,41,2,1,0,1,0,5,2,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
360,"Álex Moreno","/en/players/16e9d0ea/Alex-Moreno","es ESP","DF","Aston Villa",30,1993,11.5,690,40,246,235,213,29,690,35,15,42.9,17,48.6,364,2332,1106,32,20,10,14,6,383,83,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
361,"Carlton Morris","/en/players/2da834f1/Carlton-Morris","eng ENG","FW,MF","Luton Town",27,1995,31.8,1071,63,123,501,457,136,1066,55,31,56.4,20,36.4,548,2855,1152,37,32,18,54,53,799,120,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
362,"Mason Mount","/en/players/9674002f/Mason-Mount","eng ENG","MF,FW","Manchester Utd",24,1999,5.7,289,11,44,125,125,17,289,12,4,33.3,6,50,152,797,321,9,5,2,11,6,180,34,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
363,"Divin Mubama","/en/players/92868cb5/Divin-Mubama","eng ENG","FW","West Ham",18,2004,0.9,32,0,3,20,9,1,32,0,0,NA,0,NA,18,41,12,0,1,0,6,0,24,5,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
364,"Mykhailo Mudryk","/en/players/049a888d/Mykhailo-Mudryk","ua UKR","FW","Chelsea",22,2001,17.5,777,14,116,255,420,78,777,81,39,48.1,31,38.3,509,4183,2418,92,56,36,54,22,572,139,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
365,"Rodrigo Muniz","/en/players/a755db8c/Rodrigo-Muniz","br BRA","FW","Fulham",22,2001,17.7,462,30,45,201,220,118,462,20,5,25,13,65,257,788,258,8,4,4,54,34,343,76,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
366,"Daniel Muñoz","/en/players/778ef829/Daniel-Munoz","co COL","DF,MF","Crystal Palace",27,1996,16,947,54,262,411,284,42,947,28,13,46.4,12,42.9,385,1841,873,25,17,5,21,7,465,80,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
367,"Finley Munroe","/en/players/36625c27/Finley-Munroe","eng ENG","MF","Aston Villa",18,2005,0,1,0,1,0,0,0,1,0,0,NA,0,NA,0,0,0,0,0,0,0,0,1,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
368,"Arijanet Muric","/en/players/99aa1a84/Arijanet-Muric","xk KVX","GK","Burnley",24,1998,10,635,361,573,62,0,0,635,0,0,NA,0,NA,418,2331,1453,0,0,0,0,0,392,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
369,"Murillo","/en/players/1704b0b8/Murillo","br BRA","DF","Nott'ham Forest",21,2002,31,1848,357,1043,731,94,30,1848,35,20,57.1,15,42.9,985,5485,3398,22,15,3,20,15,1090,7,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
370,"Alex Murphy","/en/players/f1c42eb3/Alex-Murphy","ie IRL","DF,FW","Newcastle Utd",19,2004,0.1,21,0,4,15,2,0,21,0,0,NA,0,NA,16,72,37,0,0,0,1,0,16,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
371,"Jacob Murphy","/en/players/de112b84/Jacob-Murphy","eng ENG","FW,DF","Newcastle Utd",28,1995,13.2,666,24,111,229,339,53,666,27,13,48.1,13,48.1,381,2179,981,33,27,15,19,14,434,113,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
372,"Vitaliy Mykolenko","/en/players/30d4a2e5/Vitaliy-Mykolenko","ua UKR","DF","Everton",24,1999,27.4,1501,123,531,611,374,30,1501,31,18,58.1,11,35.5,608,2518,1028,14,22,0,39,11,691,68,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
373,"Marvelous Nakamba","/en/players/de5b5570/Marvelous-Nakamba","zw ZIM","MF","Luton Town",29,1994,12.6,546,30,133,320,101,3,546,10,3,30,5,50,224,1064,344,1,8,0,10,4,251,5,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
374,"Michael Ndiweni","/en/players/8aff2b51/Michael-Ndiweni","eng ENG","FW","Newcastle Utd",19,2003,0,2,0,0,2,0,0,2,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
375,"Reiss Nelson","/en/players/c5bdb6e3/Reiss-Nelson","eng ENG","FW","Arsenal",23,1999,3,188,8,30,67,96,13,188,7,1,14.3,6,85.7,129,729,281,9,5,4,11,4,128,26,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
376,"Zack Nelson","/en/players/de0abf23/Zack-Nelson","eng ENG","MF,DF","Luton Town",18,2004,0.1,6,0,3,3,0,0,6,0,0,NA,0,NA,2,9,2,0,0,0,1,0,2,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
377,"Neto","/en/players/a9dc785c/Neto","br BRA","GK","Bournemouth",34,1989,32,1138,949,1129,9,0,0,1138,2,2,100,0,0,635,3771,2495,0,0,0,0,0,474,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
378,"Pedro Neto","/en/players/7ba2eaa9/Pedro-Neto","pt POR","FW,MF","Wolves",23,2000,16.8,904,4,63,358,505,83,904,88,37,42,42,47.7,581,4915,2615,98,65,42,44,20,683,149,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
379,"Moussa Niakhate","/en/players/00242715/Moussa-Niakhate","sn SEN","DF","Nott'ham Forest",27,1996,16.2,927,121,465,368,104,7,927,3,3,100,0,0,502,2511,1183,13,12,1,4,3,536,6,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
380,"Eddie Nketiah","/en/players/a53649b7/Eddie-Nketiah","eng ENG","FW","Arsenal",24,1999,12,371,5,18,148,207,75,371,30,8,26.7,15,50,236,1195,497,22,12,11,38,18,275,77,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
381,"Christopher Nkunku","/en/players/7c56da38/Christopher-Nkunku","fr FRA","FW,MF","Chelsea",25,1997,4.9,244,5,25,95,128,27,244,8,2,25,5,62.5,144,606,298,10,6,2,17,8,202,35,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
382,"Rhys Norrington-Davies","/en/players/ca76b087/Rhys-Norrington-Davies","wls WAL","DF","Sheffield Utd",24,1999,1.2,77,4,26,38,14,1,77,1,1,100,0,0,46,266,119,3,1,0,2,2,47,6,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
383,"Oliver Norwood","/en/players/43439614/Oliver-Norwood","nir NIR","MF","Sheffield Utd",32,1991,16,1068,65,327,575,170,6,1067,3,1,33.3,1,33.3,470,1695,666,3,5,0,9,4,630,10,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
384,"Matheus Nunes","/en/players/e6af02e0/Matheus-Nunes","pt POR","MF","Wolves",24,1998,2,131,4,30,66,40,6,131,17,11,64.7,4,23.5,93,634,336,7,6,3,3,4,95,9,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
385,"Matheus Nunes","/en/players/e6af02e0/Matheus-Nunes","pt POR","MF","Manchester City",24,1998,7.3,529,13,59,234,243,36,529,23,9,39.1,13,56.5,347,2001,964,28,22,10,19,12,438,58,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
386,"Darwin Núñez","/en/players/4d77b365/Darwin-Nunez","uy URU","FW","Liverpool",24,1999,22.7,777,13,41,224,526,192,776,44,15,34.1,20,45.5,468,2694,1279,58,35,36,53,29,575,206,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
387,"Ethan Nwaneri","/en/players/7f94982c/Ethan-Nwaneri","eng ENG","FW","Arsenal",16,2007,0.2,20,0,0,9,11,2,20,1,0,0,0,0,16,123,66,2,2,0,0,0,17,1,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
388,"Christian Nørgaard","/en/players/df0a4c90/Christian-Norgaard","dk DEN","MF","Brentford",29,1994,27.8,1846,99,522,944,388,57,1846,11,6,54.5,4,36.4,873,3367,1633,15,27,3,21,15,1089,42,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
389,"Mark O'Mahony","/en/players/a3afdd69/Mark-OMahony","ie IRL","FW","Brighton",18,2005,0.7,27,2,6,15,6,2,27,0,0,NA,0,NA,16,66,10,0,0,0,4,0,21,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
390,"Dara O'Shea","/en/players/1d042188/Dara-OShea","ie IRL","DF","Burnley",24,1999,32.1,2094,306,969,992,142,49,2094,2,1,50,1,50,1112,5725,3525,32,14,1,11,1,1306,10,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
391,"Michael Obafemi","/en/players/caa1a7f0/Michael-Obafemi","ie IRL","FW,MF","Burnley",23,2000,0.2,9,0,0,3,6,4,9,3,3,100,0,0,6,32,11,0,0,0,0,1,6,3,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
392,"Wilson Odobert","/en/players/35516eac/Wilson-Odobert","fr FRA","MF,FW","Burnley",18,2004,23.3,844,26,144,305,416,98,844,110,53,48.2,49,44.5,545,4562,2919,102,56,48,48,30,600,123,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
393,"Odeluga Offiah","/en/players/65c3efa2/Odeluga-Offiah","eng ENG","DF","Brighton",20,2002,1.4,87,1,31,27,31,2,87,6,4,66.7,1,16.7,59,418,268,9,5,1,1,0,64,9,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
394,"Chiedozie Ogbene","/en/players/788c0277/Chiedozie-Ogbene","ie IRL","MF,DF","Luton Town",26,1997,22.2,1066,47,201,385,512,88,1066,121,61,50.4,44,36.4,650,6070,3710,127,74,45,59,21,660,150,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
395,"Angelo Ogbonna","/en/players/74b2cd7e/Angelo-Ogbonna","it ITA","DF","West Ham",35,1988,7.1,272,61,184,82,6,4,272,1,1,100,0,0,137,728,263,2,0,1,0,0,152,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
396,"Michael Olakigbe","/en/players/cdd70dc0/Michael-Olakigbe","eng ENG","DF,FW","Brentford",19,2004,0.7,70,0,11,21,38,10,70,11,3,27.3,7,63.6,42,437,229,10,5,3,4,1,48,17,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
397,"Michael Olise","/en/players/c4486bac/Michael-Olise","fr FRA","FW,MF","Crystal Palace",21,2001,14.2,959,10,102,396,483,80,958,83,40,48.2,33,39.8,563,3979,2210,68,50,27,41,33,692,134,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
398,"Robin Olsen","/en/players/e7ee38c3/Robin-Olsen","se SWE","GK","Aston Villa",33,1990,4.5,216,200,215,1,0,0,216,0,0,NA,0,NA,131,626,303,0,0,0,0,0,115,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
399,"Andrew Omobamidele","/en/players/c393a6c4/Andrew-Omobamidele","ie IRL","DF","Nott'ham Forest",21,2002,8.7,399,76,222,164,14,5,399,0,0,NA,0,NA,217,1082,429,1,0,0,3,0,246,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
